Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 172: prob=0.000000000000, clase=0, paquetes=2, payload=222.0, ACK=0, RST=0, SYN=0, duracion=50814
Flujo 173: prob=0.000000000000, clase=0, paquetes=2, payload=193.0, ACK=0, RST=0, SYN=0, duracion=125170
Flujo 174: prob=0.000000000000, clase=0, paquetes=2, payload=260.0, ACK=0, RST=0, SYN=0, duracion=124962
Flujo 175: prob=0.000003992407, clase=0, paquetes=2, payload=94.0, ACK=0, RST=0, SYN=0, duracion=139993
Flujo 176: prob=0.000000000000, clase=0, paquetes=2, payload=249.0, ACK=0, RST=0, SYN=0, duracion=112780
Flujo 177: prob=0.000000001092, clase=0, paquetes=2, payload=146.0, ACK=0, RST=0, SYN=0, duracion=66546
Flujo 178: prob=0.000001075843, clase=0, paquetes=2, payload=96.0, ACK=0, RST=0, SYN=0, duracion=39352
Flujo 179: prob=0.000000000174, clase=0, paquetes=2, payload=148.0, ACK=0, RST=0, SYN=0, duracion=32429
Flujo 180: prob=0.000035183737, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=34582
Flujo 181: prob=1.000000000000, clase=1, paquetes=2, payload=1.0, ACK=2, RST=0, SYN=0, duracion=464549
